nlc,Station,longitude,latitude,EntriesHr,Weekday,Saturday,Sunday,Weekday,Saturday,Sunday,million
568,Edgware,51.6139,-0.27515,100.5,7702,5236,3946,7303,4951,3690,4.776513
,Edgware Road,51.5196,-0.169068,236,19015,12305,8328,18416,12588,7753,11.713258
570,Elephant & Castle,51.4947,-0.10047,409.2,31209,22095,15434,28603,20562,14029,19.088917
571,Elm Park,51.5497,0.19779,55.4,5161,2598,1547,4959,2433,1544,3.004341
542,Embankment,51.5072,-0.12195,475.7,33187,29244,17479,32497,27726,16114,21.562479
572,Epping,51.6937,0.11495,69.9,5748,3611,2387,5018,3003,2064,3.330335
574,Euston,51.5277,-0.13303,926.9,62670,50142,42913,64227,49927,39304,42.159332
575,Euston Square,51.5258,-0.1357,259,25477,9658,8373,25638,9575,7672,14.878866
576,Fairlop,51.5963,0.09125,22.3,1956,1111,673,1769,1067,659,1.134269
577,Farringdon,51.5204,-0.105126482,358.7,43640,9944,6679,43109,10688,6124,23.775738
578,Finchley Central,51.601,-0.1924,116.3,9578,6357,3604,9125,5554,3662,5.779925
579,Finchley Road,51.5467,-0.179867,211.6,15958,11178,8416,15189,10167,7872,9.951123
580,Finsbury Park,51.565,-0.10543,661.1,44703,41631,24728,42792,33027,23215,28.847088
581,Fulham Broadway,51.4803,-0.19488,236.8,16528,15312,7943,16504,12682,7339,10.714422
582,Gants Hill,51.5765,0.06637,132.8,10872,6659,4786,10299,6227,4738,6.588251
583,Gloucester Road,51.4941,-0.17295341,319,22330,17405,13861,20832,16116,12255,14.203922
584,Golders Green,51.5725,-0.1941,187.2,13833,9833,7785,13167,8937,7352,8.700123
585,Goldhawk Road,51.5012,-0.226776,43.1,3469,2346,1427,3232,1957,1436,2.088026
586,Goodge Street,51.5206,-0.13441,159.8,15239,7487,4120,14839,7192,3816,8.841266
587,Grange Hill,51.6133,0.09258,12.4,1211,563,309,1042,460,275,0.657661
588,Great Portland Street,51.5239,-0.14397,144,15167,5074,3943,14125,4678,3266,8.343311
590,Green Park,51.5067,-0.14276,750.9,59805,39885,26464,64785,48690,31599,39.552887
589,Greenford,51.5423,-0.345903,95.9,7596,5234,3273,7475,4842,3161,4.716521
591,Gunnersbury,51.4913,-0.275554312,98.1,9848,3868,2759,8819,3421,2475,5.410585
592,Hainault,51.6029,0.09332,70.2,6077,3466,2245,5766,3238,2211,3.607791
,Hammersmith,51.4923,-0.222825,807.3,64452,41917,29250,61703,39865,27843,39.538366
594,Hampstead,51.5565,-0.17851,96.6,6681,5245,4297,7008,5488,4790,4.557566
595,Hanger Lane,51.53,-0.2929,80.3,6753,3895,2836,6072,3508,2584,3.949461
596,Harlesden,51.5363,-0.257622488,57.3,5152,2735,1734,4870,2549,1613,3.007807
597,Harrow & Wealdstone,51.5921,-0.334725352,103.1,8400,5469,3452,7763,4642,3122,5.002877
598,Harrow-on-the-Hill,51.5793,-0.337052,205.1,15963,10877,7617,16573,10807,7643,10.259516
779,Hatton Cross,51.467,-0.423035,70.8,5128,3917,2849,4712,3481,2672,3.199955
781,Heathrow Terminal 4,51.4595,-0.44689658,173.8,8893,9600,10708,7643,8407,8437,6.249527
780,Heathrow Terminals 1-2-3,51.4713,-0.4527438,207,10719,11903,12149,9339,9429,9976,7.489313
601,Hendon Central,51.5835,-0.22653,162.1,13446,7883,5896,12423,6779,5337,7.970028
602,High Barnet,51.6507,-0.194138166,74,6116,3878,2444,5701,3399,2314,3.648827
605,High Street Kensington,51.5003,-0.192351664,283.5,20934,15572,11114,20426,15787,10374,13.36254
603,Highbury & Islington,51.545,-0.10752,388,28475,22296,14407,28502,22142,14712,18.443978
604,Highgate,51.5772,-0.14553,114.8,8953,6325,4013,8419,5569,3939,5.482772
606,Hillingdon,51.5536,-0.45062,37.9,3039,1910,1413,2902,1716,1375,1.856117
607,Holborn,51.5171,-0.12055,762,62752,40111,25147,68154,44935,25507,40.530196
608,Holland Park,51.5072,-0.20553,70,5466,3720,2572,5161,3522,2529,3.366174
609,Holloway Road,51.5529,-0.11278,138,10741,7404,5042,10597,6767,5013,6.728651
610,Hornchurch,51.5539,0.21797,35.7,3567,1740,693,3383,1734,747,2.023958
611,Hounslow Central,51.4713,-0.365853,88,6258,5345,3179,6131,4428,3061,4.010773
612,Hounslow East,51.4735,-0.356,96.8,6727,5463,4078,6996,5412,4019,4.515142
613,Hounslow West,51.4737,-0.386471,79.8,5502,4420,3488,5180,4133,3262,3.545552
614,Hyde Park Corner,51.5031,-0.15278,189.6,9220,10705,11936,9524,14268,11725,7.436827
615,Ickenham,51.5615,-0.44257,22,1970,1064,656,1978,1051,726,1.190362
616,Kennington,51.4882,-0.10587,122.4,8917,6899,4754,8074,6113,4632,5.529121
617,Kensal Green,51.5306,-0.224253545,57,4332,3203,2045,3680,2643,1890,2.563193
618,Kensington (Olympia),51.4968,-0.20931,76.5,1622,7044,4193,1594,6397,4216,2.008711
619,Kentish Town,51.5505,-0.14067,223,17315,11821,8331,15971,10262,7328,10.493555
620,Kenton,51.5817,-0.316870809,42.5,3479,2250,1419,3329,2151,1380,2.116417
621,Kew Gardens,51.4773,-0.284980014,79.2,5456,4602,3249,5199,4332,3351,3.549683
622,Kilburn,51.5472,-0.205002,182.6,12956,10233,7483,12285,9219,7296,8.269438
623,Kilburn Park,51.535,-0.193963023,76.1,5259,4379,3153,5071,4030,3057,3.417148
625,King's Cross St.Pancras,51.5306,-0.12399,2123,138159,119658,98850,139242,112293,90457,93.413018
624,Kingsbury,51.5842,-0.2788,99.1,8169,5015,3473,7871,4717,3384,4.968747
